Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.104-35.240.1.200-57809-443-6,192.168.0.104,57809,35.240.1.200,443,6,26/03/2025 12:05:29 AM,5631595,5,11,191,646,92,0,38.2,40.27654404,429,0,58.72727273,125.137597,148.6257446,2.841113397,375439.6667,1225079.196,4792080,1,5220047,1305011.75,2443939.058,4968209,10550,5631226,563122.6,1489638.985,4792080,1,0,0,0,0,100,244,0.887847937,1.95326546,0,429,49.23529412,102.1968257,10444.19118,0,1,0,0,0,0,0,0,2,52.3125,38.2,58.72727273,0,0,0,0,0,0,5,191,11,646,-1,484,3,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-35.240.1.200-57809-443-6,35.240.1.200,443,192.168.0.104,57809,6,26/03/2025 12:05:35 AM,1,1,1,0,24,0,0,0,0,24,24,24,0,2.40E+07,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000,1000000,0,24,16,13.85640646,192,0,0,0,1,1,0,0,0,1,24,0,24,0,0,0,0,0,0,1,0,1,24,-1,484,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.104-1900-57821-6,192.168.0.104,57821,192.168.0.1,1900,6,26/03/2025 12:05:50 AM,8204,3,7,196,3644,196,0,65.33333333,113.1606528,1460,0,520.5714286,664.3700919,468064.3588,1218.917601,911.5555556,813.9702254,2214,1,4634,2317,2658.721497,4197,437,8204,1367.333333,825.0034343,2214,1,0,0,0,0,60,164,365.6752804,853.2423208,0,1460,349.0909091,569.4905538,324319.4909,0,1,0,0,0,0,0,0,2,384,65.33333333,520.5714286,0,0,0,0,0,0,3,196,7,3644,-1,1959,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.104-1900-57821-6,192.168.0.104,57821,192.168.0.1,1900,6,26/03/2025 12:05:50 AM,1215,1,1,0,0,0,0,0,0,0,0,0,0,0,1646.090535,1215,0,1215,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,823.0452675,823.0452675,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-18.205.90.3-57798-443-6,192.168.0.104,57798,18.205.90.3,443,6,26/03/2025 12:05:37 AM,14695413,1,3,0,47,0,0,0,0,46,0,15.66666667,26.2741952,3.198276905,0.272193779,4898471,8288054.582,1.45E+07,456,0,0,0,0,0,1.47E+07,7347478.5,1.01E+07,1.45E+07,227160,0,0,0,0,20,72,0.068048445,0.204145334,0,46,9.6,20.35436071,414.3,0,0,0,0,1,0,0,0,3,12,0,15.66666667,0,0,0,0,0,0,1,0,3,47,-1,246,0,0,227160,0,227160,227160,1.45E+07,0,1.45E+07,1.45E+07,No Label
192.168.0.104-18.205.90.3-57798-443-6,18.205.90.3,443,192.168.0.104,57798,6,26/03/2025 12:05:52 AM,1,1,1,0,31,0,0,0,0,31,31,31,0,3.10E+07,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000,1000000,0,31,20.66666667,17.89785834,320.3333333,0,0,0,1,1,0,0,0,1,31,0,31,0,0,0,0,0,0,1,0,1,31,-1,246,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-52.21.208.212-57799-443-6,192.168.0.104,57799,52.21.208.212,443,6,26/03/2025 12:05:37 AM,14732729,0,5,0,78,0,0,0,0,46,0,15.6,21.57081361,5.294334811,0.339380437,3683182.25,7212666.837,1.45E+07,1,0,0,0,0,0,1.47E+07,3683182.25,7212666.837,1.45E+07,1,0,0,0,0,0,112,0,0.339380437,0,46,13.16666667,20.19323319,407.7666667,0,0,0,0,1,0,0,0,0,15.8,0,15.6,0,0,0,0,0,0,0,0,5,78,-1,142,0,0,231786,0,231786,231786,1.45E+07,0,1.45E+07,1.45E+07,No Label
192.168.0.104-52.21.208.212-57799-443-6,192.168.0.104,57799,52.21.208.212,443,6,26/03/2025 12:05:52 AM,309,1,1,0,0,0,0,0,0,0,0,0,0,0,6472.491909,309,0,309,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3236.245955,3236.245955,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-34.206.182.125-57801-443-6,192.168.0.104,57801,34.206.182.125,443,6,26/03/2025 12:05:39 AM,14736219,1,3,0,47,0,0,0,0,46,0,15.66666667,26.2741952,3.18942057,0.271440048,4912073,8313192.429,1.45E+07,404,0,0,0,0,0,1.47E+07,7367907.5,1.01E+07,1.45E+07,225373,0,0,0,0,20,72,0.067860012,0.203580036,0,46,9.6,20.35436071,414.3,0,0,0,0,1,0,0,0,3,12,0,15.66666667,0,0,0,0,0,0,1,0,3,47,-1,187,0,0,225373,0,225373,225373,1.45E+07,0,1.45E+07,1.45E+07,No Label
192.168.0.104-34.206.182.125-57801-443-6,34.206.182.125,443,192.168.0.104,57801,6,26/03/2025 12:05:53 AM,0,1,1,0,31,0,0,0,0,31,31,31,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0,0,0,31,20.66666667,17.89785834,320.3333333,0,0,0,1,1,0,0,0,1,31,0,31,0,0,0,0,0,0,1,0,1,31,-1,187,0,0,0,0,0,0,0,0,0,0,No Label
